fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
59	263400	2700.0	300.0	300.0	300.0	100	0.4	0.8	0.00082508
75	263400	2700.0	300.0	300.0	300.0	100	0.6	0.8	0.0013449
85	263400	2700.0	300.0	300.0	300.0	100	0.8	0.8	0.0016479
291	263400	2700.0	300.0	300.0	300.0	100	1.0	0.8	0.0017272
95	263400	2700.0	300.0	300.0	300.0	100	1.2	0.8	0.0016702
109	263400	2700.0	300.0	300.0	300.0	100	1.4	0.8	0.0015411
110	263400	2700.0	300.0	300.0	300.0	100	1.6	0.8	0.0013875
141	263400	2700.0	300.0	300.0	300.0	100	1.8	0.8	0.0012378
142	263400	2700.0	300.0	300.0	300.0	100	2.0	0.8	0.0011023
173	263400	2700.0	300.0	300.0	300.0	100	2.5	0.8	0.00081333
174	263400	2700.0	300.0	300.0	300.0	100	3.0	0.8	0.00061319
205	263400	2700.0	300.0	300.0	300.0	100	3.5	0.8	0.00047282
206	263400	2700.0	300.0	300.0	300.0	100	4.0	0.8	0.00037316
237	263400	2700.0	300.0	300.0	300.0	100	4.5	0.8	0.0003006
238	263400	2700.0	300.0	300.0	300.0	100	5.0	0.8	0.00024612
269	263400	2700.0	300.0	300.0	300.0	100	7.0	0.8	0.00012606
270	263400	2700.0	300.0	300.0	300.0	100	10.0	0.8	5.8705e-05
60	263400	2750.0	300.0	300.0	300.0	100	0.4	0.8	0.00074072
76	263400	2750.0	300.0	300.0	300.0	100	0.6	0.8	0.0012127
86	263400	2750.0	300.0	300.0	300.0	100	0.8	0.8	0.0014818
292	263400	2750.0	300.0	300.0	300.0	100	1.0	0.8	0.0015517
96	263400	2750.0	300.0	300.0	300.0	100	1.2	0.8	0.0015014
111	263400	2750.0	300.0	300.0	300.0	100	1.4	0.8	0.0013902
112	263400	2750.0	300.0	300.0	300.0	100	1.6	0.8	0.0012512
143	263400	2750.0	300.0	300.0	300.0	100	1.8	0.8	0.0011136
144	263400	2750.0	300.0	300.0	300.0	100	2.0	0.8	0.00098863
175	263400	2750.0	300.0	300.0	300.0	100	2.5	0.8	0.00073238
176	263400	2750.0	300.0	300.0	300.0	100	3.0	0.8	0.00055075
207	263400	2750.0	300.0	300.0	300.0	100	3.5	0.8	0.00042554
208	263400	2750.0	300.0	300.0	300.0	100	4.0	0.8	0.00033659
239	263400	2750.0	300.0	300.0	300.0	100	4.5	0.8	0.00026978
