LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	3000.0	700.0	700.0	700.0	100	1.0	0.8	0.0003352
263400	3000.0	800.0	800.0	800.0	100	1.0	0.8	0.00030894
263400	3000.0	900.0	900.0	900.0	100	1.0	0.8	0.00028421
263400	3000.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.00025935
263400	3000.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.0002345
263400	3000.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00021091
263400	3500.0	300.0	300.0	300.0	100	1.0	0.8	0.00033718
263400	3500.0	400.0	400.0	400.0	100	1.0	0.8	0.00017749
263400	3500.0	500.0	500.0	500.0	100	1.0	0.8	0.00014885
263400	3500.0	600.0	600.0	600.0	100	1.0	0.8	0.00013615
263400	3500.0	700.0	700.0	700.0	100	1.0	0.8	0.00012652
263400	3500.0	800.0	800.0	800.0	100	1.0	0.8	0.00011855
263400	3500.0	900.0	900.0	900.0	100	1.0	0.8	0.00011056
263400	3500.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.00010311
263400	3500.0	1100.0	1100.0	1100.0	100	1.0	0.8	9.556e-05
263400	3500.0	1200.0	1200.0	1200.0	100	1.0	0.8	8.8046e-05
263400	4000.0	300.0	300.0	300.0	100	1.0	0.8	0.00012964
263400	4000.0	400.0	400.0	400.0	100	1.0	0.8	6.8398e-05
263400	4000.0	500.0	500.0	500.0	100	1.0	0.8	5.7149e-05
263400	4000.0	600.0	600.0	600.0	100	1.0	0.8	5.2565e-05
263400	4000.0	700.0	700.0	700.0	100	1.0	0.8	4.9128e-05
263400	4000.0	800.0	800.0	800.0	100	1.0	0.8	4.6312e-05
263400	4000.0	900.0	900.0	900.0	100	1.0	0.8	4.3681e-05
263400	4000.0	1000.0	1000.0	1000.0	100	1.0	0.8	4.1144e-05
263400	4000.0	1100.0	1100.0	1100.0	100	1.0	0.8	3.8551e-05
263400	4000.0	1200.0	1200.0	1200.0	100	1.0	0.8	3.6147e-05
263400	4500.0	300.0	300.0	300.0	100	1.0	0.8	5.269e-05
263400	4500.0	400.0	400.0	400.0	100	1.0	0.8	2.7488e-05
263400	4500.0	500.0	500.0	500.0	100	1.0	0.8	2.2897e-05
263400	4500.0	600.0	600.0	600.0	100	1.0	0.8	2.0939e-05
263400	4500.0	700.0	700.0	700.0	100	1.0	0.8	1.9567e-05
263400	4500.0	800.0	800.0	800.0	100	1.0	0.8	1.8469e-05
263400	4500.0	900.0	900.0	900.0	100	1.0	0.8	1.7484e-05
263400	4500.0	1000.0	1000.0	1000.0	100	1.0	0.8	1.6612e-05
263400	4500.0	1100.0	1100.0	1100.0	100	1.0	0.8	1.563e-05
263400	4500.0	1200.0	1200.0	1200.0	100	1.0	0.8	1.4793e-05
263400	5000.0	300.0	300.0	300.0	100	1.0	0.8	2.2624e-05
263400	5000.0	400.0	400.0	400.0	100	1.0	0.8	1.1644e-05
